Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,strength
"SQL, Java, C++, React",0,B.Tech,AWS Certified,Software Engineer,8,Average
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,8,Strong
"Networking, Linux, Cybersecurity, Ethical Hacking",5,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,3,Strong
"Python, Deep Learning",5,B.Tech,None,Data Scientist,10,Strong
"Ethical Hacking, Linux",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,2,Strong
"C++, Java, SQL",3,PhD,Deep Learning Specialization,Software Engineer,4,Strong
"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,10,Strong
"Machine Learning, Python, Deep Learning",9,B.Tech,None,Data Scientist,0,Strong
"Ethical Hacking, Linux, Cybersecurity",4,MBA,None,Cybersecurity Analyst,9,Strong
"SQL, React, C++",7,B.Tech,AWS Certified,Software Engineer,0,Strong
"Networking, Cybersecurity, Ethical Hacking, Linux",0,PhD,AWS Certified,Cybersecurity Analyst,5,Average
"SQL, Java",7,M.Tech,AWS Certified,Software Engineer,5,Strong
"Python, Deep Learning, SQL, Machine Learning",1,B.Tech,AWS Certified,Data Scientist,9,Strong
"TensorFlow, Pytorch",5,PhD,AWS Certified,AI Researcher,4,Strong
"Linux, Cybersecurity, Networking",2,B.Sc,AWS Certified,Cybersecurity Analyst,1,Average
"Ethical Hacking, Linux",7,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,0,Strong
"Java, SQL, React, C++",10,B.Sc,Deep Learning Specialization,Software Engineer,4,Strong
"Pytorch, TensorFlow",2,MBA,AWS Certified,AI Researcher,6,Average
"C++, SQL",7,MBA,AWS Certified,Software Engineer,8,Strong
"Networking, Linux, Ethical Hacking, Cybersecurity",4,B.Tech,None,Cybersecurity Analyst,0,Average
"SQL, Machine Learning",0,B.Tech,AWS Certified,Data Scientist,8,Average
"C++, Java",0,B.Sc,None,Software Engineer,8,Average
"Deep Learning, SQL, Python, Machine Learning",8,MBA,AWS Certified,Data Scientist,0,Strong
"Python, NLP, TensorFlow",7,B.Sc,Google ML,AI Researcher,8,Strong
"Cybersecurity, Networking",3,MBA,None,Cybersecurity Analyst,9,Strong
"Deep Learning, Machine Learning, SQL, Python",1,M.Tech,Deep Learning Specialization,Data Scientist,10,Strong
"Cybersecurity, Ethical Hacking, Networking, Linux",6,MBA,Google ML,Cybersecurity Analyst,10,Strong
"Ethical Hacking, Cybersecurity, Linux, Networking",0,MBA,Google ML,Cybersecurity Analyst,7,Average
"SQL, Java, React",3,B.Sc,None,Software Engineer,9,Strong
"Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,3,Weak
"Ethical Hacking, Linux",2,M.Tech,None,Cybersecurity Analyst,7,Average
"Networking, Ethical Hacking",1,M.Tech,AWS Certified,Cybersecurity Analyst,6,Average
"React, C++, SQL, Java",0,M.Tech,None,Software Engineer,0,Weak
"Python, Deep Learning, SQL, Machine Learning",9,PhD,None,Data Scientist,5,Strong
"Python, Machine Learning, Deep Learning",0,B.Tech,Google ML,Data Scientist,3,Weak
"Pytorch, TensorFlow",8,B.Sc,Deep Learning Specialization,AI Researcher,9,Strong
"Python, Pytorch, TensorFlow, NLP",7,B.Sc,Google ML,AI Researcher,7,Strong
"Python, NLP",0,PhD,Deep Learning Specialization,AI Researcher,10,Average
"SQL, C++, React, Java",4,MBA,Google ML,Software Engineer,9,Strong
"SQL, Deep Learning, Machine Learning",6,M.Tech,None,Data Scientist,2,Strong
"Networking, Ethical Hacking",0,B.Tech,None,Cybersecurity Analyst,4,Weak
"Linux, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,4,Average
"Networking, Linux, Cybersecurity, Ethical Hacking",7,B.Tech,AWS Certified,Cybersecurity Analyst,2,Strong
"SQL, Java",3,B.Sc,None,Software Engineer,6,Average
"TensorFlow, Python, NLP, Pytorch",1,B.Sc,AWS Certified,AI Researcher,1,Weak
"React, Java, SQL",4,M.Tech,Deep Learning Specialization,Software Engineer,5,Strong
"TensorFlow, Pytorch",5,M.Tech,Deep Learning Specialization,AI Researcher,9,Strong
"Linux, Cybersecurity, Ethical Hacking",2,B.Sc,None,Cybersecurity Analyst,2,Weak
"Python, NLP",5,B.Tech,None,AI Researcher,8,Strong
"Deep Learning, Python",6,MBA,Deep Learning Specialization,Data Scientist,7,Strong
"Linux, Networking, Ethical Hacking",10,B.Tech,None,Cybersecurity Analyst,5,Strong
"Java, C++, React",7,PhD,None,Software Engineer,6,Strong
"React, Java, SQL",3,B.Sc,None,Software Engineer,0,Weak
"NLP, Pytorch, Python",4,PhD,Google ML,AI Researcher,9,Strong
"Java, SQL, C++, React",10,M.Tech,Google ML,Software Engineer,0,Strong
"Cybersecurity, Linux, Ethical Hacking",3,B.Sc,AWS Certified,Cybersecurity Analyst,5,Strong
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,2,Weak
"C++, React",8,B.Sc,Deep Learning Specialization,Software Engineer,7,Strong
"Python, Machine Learning, Deep Learning",0,B.Sc,Deep Learning Specialization,Data Scientist,10,Strong
"SQL, Python",8,B.Sc,Deep Learning Specialization,Data Scientist,10,Strong
"SQL, Python, Deep Learning, Machine Learning",2,B.Tech,Google ML,Data Scientist,10,Strong
"Pytorch, NLP, Python, TensorFlow",10,M.Tech,AWS Certified,AI Researcher,1,Strong
"NLP, TensorFlow, Pytorch",3,M.Tech,AWS Certified,AI Researcher,6,Strong
"Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,2,Strong
"TensorFlow, Python, NLP, Pytorch",4,B.Tech,None,AI Researcher,4,Strong
"React, C++",6,B.Tech,Google ML,Software Engineer,7,Strong
"Linux, Ethical Hacking, Networking",10,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,1,Strong
"NLP, Pytorch, TensorFlow",1,B.Tech,AWS Certified,AI Researcher,1,Weak
"C++, SQL, Java",10,M.Tech,Deep Learning Specialization,Software Engineer,2,Strong
"Pytorch, NLP, Python",10,MBA,Google ML,AI Researcher,2,Strong
"Deep Learning, Python, SQL, Machine Learning",1,PhD,AWS Certified,Data Scientist,3,Average
"NLP, TensorFlow",8,MBA,None,AI Researcher,1,Strong
"NLP, Python",9,M.Tech,None,AI Researcher,5,Strong
"C++, React, Java",9,B.Tech,Deep Learning Specialization,Software Engineer,8,Strong
"Python, Machine Learning, SQL",6,PhD,None,Data Scientist,1,Strong
"Python, Pytorch, TensorFlow, NLP",8,B.Tech,AWS Certified,AI Researcher,8,Strong
"Java, SQL",3,B.Tech,Deep Learning Specialization,Software Engineer,1,Average
"Machine Learning, Deep Learning, SQL, Python",3,M.Tech,AWS Certified,Data Scientist,0,Average
"Ethical Hacking, Linux",1,PhD,None,Cybersecurity Analyst,9,Average
"Machine Learning, Python, Deep Learning",1,MBA,Deep Learning Specialization,Data Scientist,4,Average
"Pytorch, NLP, Python, TensorFlow",5,B.Tech,None,AI Researcher,6,Strong
"Cybersecurity, Linux, Ethical Hacking",5,MBA,AWS Certified,Cybersecurity Analyst,5,Strong
"Cybersecurity, Networking, Linux, Ethical Hacking",6,B.Sc,None,Cybersecurity Analyst,7,Strong
"Networking, Linux, Ethical Hacking, Cybersecurity",10,B.Tech,Google ML,Cybersecurity Analyst,10,Strong
"Python, Machine Learning, Deep Learning",0,M.Tech,Deep Learning Specialization,Data Scientist,6,Average
"Cybersecurity, Linux, Ethical Hacking",3,MBA,None,Cybersecurity Analyst,9,Strong
"React, SQL, Java",1,B.Sc,Google ML,Software Engineer,9,Strong
"NLP, Pytorch, TensorFlow",8,MBA,Deep Learning Specialization,AI Researcher,6,Strong
"TensorFlow, NLP, Python",4,MBA,AWS Certified,AI Researcher,6,Strong
"Networking, Linux",3,MBA,None,Cybersecurity Analyst,6,Average
"Python, SQL",0,PhD,Deep Learning Specialization,Data Scientist,9,Average
"Deep Learning, SQL",5,MBA,Google ML,Data Scientist,0,Average
"Cybersecurity, Networking",4,PhD,None,Cybersecurity Analyst,0,Average
"C++, Java, React",4,MBA,Google ML,Software Engineer,0,Average
"Pytorch, TensorFlow, NLP",1,MBA,AWS Certified,AI Researcher,9,Strong
"React, C++",5,B.Sc,Deep Learning Specialization,Software Engineer,1,Strong
"Java, React, C++, SQL",7,PhD,Deep Learning Specialization,Software Engineer,6,Strong
"Deep Learning, SQL, Machine Learning, Python",1,MBA,AWS Certified,Data Scientist,4,Average
"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,None,Data Scientist,0,Average
"SQL, Machine Learning, Python, Deep Learning",2,MBA,AWS Certified,Data Scientist,6,Strong
"Cybersecurity, Ethical Hacking, Linux",1,B.Tech,Google ML,Cybersecurity Analyst,7,Average
"Linux, Networking, Cybersecurity",6,MBA,None,Cybersecurity Analyst,1,Strong
"Python, Deep Learning",2,B.Tech,AWS Certified,Data Scientist,5,Average
"NLP, TensorFlow, Pytorch, Python",8,B.Sc,Deep Learning Specialization,AI Researcher,0,Strong
"C++, React, Java, SQL",7,B.Tech,AWS Certified,Software Engineer,6,Strong
"SQL, C++",3,B.Tech,Deep Learning Specialization,Software Engineer,4,Average
"Python, NLP, Pytorch, TensorFlow",4,B.Sc,None,AI Researcher,8,Strong
"Cybersecurity, Linux, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,10,Strong
"React, Java",5,PhD,None,Software Engineer,8,Strong
"Networking, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,9,Strong
"SQL, Python, Machine Learning",10,PhD,AWS Certified,Data Scientist,0,Strong
"Pytorch, NLP",4,B.Tech,Google ML,AI Researcher,10,Strong
"Cybersecurity, Ethical Hacking",2,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,5,Average
"SQL, C++, React",7,M.Tech,AWS Certified,Software Engineer,4,Strong
"SQL, React, C++, Java",3,PhD,Deep Learning Specialization,Software Engineer,8,Strong
"Networking, Cybersecurity, Linux, Ethical Hacking",5,B.Sc,None,Cybersecurity Analyst,7,Strong
"Python, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,5,Strong
"Java, React, C++",0,PhD,Deep Learning Specialization,Software Engineer,2,Weak
"Python, Deep Learning, Machine Learning, SQL",3,PhD,Google ML,Data Scientist,10,Strong
"Java, React",9,B.Tech,AWS Certified,Software Engineer,1,Strong
"C++, SQL",6,MBA,AWS Certified,Software Engineer,3,Strong
"Deep Learning, Python, Machine Learning",9,MBA,Google ML,Data Scientist,10,Strong
"Networking, Cybersecurity",5,MBA,None,Cybersecurity Analyst,6,Strong
"Machine Learning, SQL, Deep Learning",7,MBA,Google ML,Data Scientist,6,Strong
"Java, C++, SQL, React",4,B.Tech,None,Software Engineer,7,Strong
"Java, React, SQL",4,PhD,AWS Certified,Software Engineer,0,Average
"Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,6,Strong
"TensorFlow, Python, NLP",10,MBA,None,AI Researcher,0,Strong
"Machine Learning, Python",8,B.Sc,None,Data Scientist,7,Strong
"React, SQL, Java",6,B.Tech,Deep Learning Specialization,Software Engineer,4,Strong
"SQL, React, Java",0,M.Tech,None,Software Engineer,0,Weak
"Networking, Ethical Hacking, Cybersecurity",10,B.Sc,Google ML,Cybersecurity Analyst,5,Strong
"Python, Machine Learning, Deep Learning",8,B.Sc,Deep Learning Specialization,Data Scientist,0,Strong
"Java, SQL, React",5,MBA,None,Software Engineer,8,Strong
"Java, React, C++, SQL",3,B.Sc,Google ML,Software Engineer,9,Strong
"SQL, Java",8,B.Tech,AWS Certified,Software Engineer,8,Strong
"NLP, TensorFlow, Python, Pytorch",0,M.Tech,Google ML,AI Researcher,8,Average
"Cybersecurity, Ethical Hacking, Linux, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,10,Strong
"Linux, Networking",6,PhD,None,Cybersecurity Analyst,9,Strong
"Java, C++",4,B.Tech,Deep Learning Specialization,Software Engineer,8,Strong
"TensorFlow, Python, NLP",6,B.Tech,Google ML,AI Researcher,4,Strong
"NLP, Pytorch, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,8,Strong
"Ethical Hacking, Networking, Linux",1,M.Tech,Google ML,Cybersecurity Analyst,6,Average
"Pytorch, Python",8,B.Sc,AWS Certified,AI Researcher,10,Strong
"C++, Java",0,M.Tech,Deep Learning Specialization,Software Engineer,3,Weak
"Ethical Hacking, Networking",10,M.Tech,AWS Certified,Cybersecurity Analyst,6,Strong
"TensorFlow, Pytorch, Python, NLP",4,MBA,AWS Certified,AI Researcher,2,Strong
"Pytorch, Python, TensorFlow, NLP",5,B.Sc,Google ML,AI Researcher,10,Strong
"Cybersecurity, Ethical Hacking, Networking, Linux",3,PhD,None,Cybersecurity Analyst,5,Strong
"C++, Java, SQL",2,MBA,Google ML,Software Engineer,7,Strong
"Pytorch, Python",4,B.Sc,AWS Certified,AI Researcher,9,Strong
"Python, TensorFlow, Pytorch, NLP",8,PhD,AWS Certified,AI Researcher,10,Strong
"SQL, Deep Learning, Machine Learning, Python",1,PhD,None,Data Scientist,6,Average
"TensorFlow, NLP, Python",0,MBA,Google ML,AI Researcher,2,Weak
"SQL, Machine Learning, Deep Learning",9,B.Tech,None,Data Scientist,0,Strong
"Machine Learning, SQL, Python, Deep Learning",2,MBA,Google ML,Data Scientist,6,Strong
"Python, Machine Learning",10,MBA,Google ML,Data Scientist,5,Strong
"Deep Learning, Machine Learning, SQL",1,B.Tech,None,Data Scientist,6,Average
"SQL, Python",8,MBA,Deep Learning Specialization,Data Scientist,10,Strong
"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,0,Strong
"SQL, Machine Learning",1,B.Sc,Deep Learning Specialization,Data Scientist,1,Weak
"Machine Learning, Python, SQL",0,MBA,Google ML,Data Scientist,5,Average
"Linux, Cybersecurity, Ethical Hacking, Networking",2,B.Tech,AWS Certified,Cybersecurity Analyst,10,Strong
"React, C++, Java",10,MBA,Deep Learning Specialization,Software Engineer,1,Strong
"Networking, Cybersecurity, Linux",5,M.Tech,Google ML,Cybersecurity Analyst,8,Strong
"C++, Java, React, SQL",10,MBA,Deep Learning Specialization,Software Engineer,9,Strong
"Ethical Hacking, Networking",8,B.Sc,None,Cybersecurity Analyst,1,Strong
"Ethical Hacking, Linux",6,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,2,Strong
"TensorFlow, Python, NLP",10,MBA,None,AI Researcher,6,Strong
"C++, React, SQL, Java",1,M.Tech,Google ML,Software Engineer,9,Strong
"SQL, Machine Learning, Deep Learning, Python",3,PhD,None,Data Scientist,9,Strong
"Python, Pytorch, NLP",0,PhD,Google ML,AI Researcher,9,Average
"C++, React, Java",10,B.Sc,Google ML,Software Engineer,8,Strong
"Deep Learning, Machine Learning, SQL",2,PhD,Deep Learning Specialization,Data Scientist,10,Strong
"Machine Learning, Python, SQL",6,B.Tech,Deep Learning Specialization,Data Scientist,8,Strong
"React, SQL, Java, C++",6,B.Tech,Deep Learning Specialization,Software Engineer,0,Strong
"Machine Learning, Deep Learning, Python",3,B.Sc,AWS Certified,Data Scientist,9,Strong
"Linux, Ethical Hacking, Cybersecurity, Networking",7,B.Tech,AWS Certified,Cybersecurity Analyst,1,Strong
"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,2,Strong
"Java, React, SQL, C++",8,M.Tech,Google ML,Software Engineer,7,Strong
"Java, SQL, C++, React",3,B.Tech,Deep Learning Specialization,Software Engineer,0,Average
"NLP, TensorFlow, Python, Pytorch",9,PhD,AWS Certified,AI Researcher,10,Strong
"Pytorch, TensorFlow, NLP, Python",5,MBA,AWS Certified,AI Researcher,0,Strong
"SQL, Deep Learning, Python, Machine Learning",7,B.Tech,None,Data Scientist,2,Strong
"Linux, Networking",4,M.Tech,None,Cybersecurity Analyst,0,Average
"SQL, C++, React",1,M.Tech,Deep Learning Specialization,Software Engineer,4,Average
"Networking, Ethical Hacking",0,PhD,Deep Learning Specialization,Cybersecurity Analyst,5,Weak
"TensorFlow, Python, NLP",7,B.Sc,Deep Learning Specialization,AI Researcher,9,Strong
"Machine Learning, Python",5,B.Tech,Google ML,Data Scientist,4,Strong
"Pytorch, TensorFlow",9,PhD,Google ML,AI Researcher,2,Strong
"Ethical Hacking, Linux",7,PhD,None,Cybersecurity Analyst,0,Strong
"Networking, Ethical Hacking, Linux, Cybersecurity",9,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,5,Strong
"Networking, Ethical Hacking, Cybersecurity, Linux",9,MBA,Deep Learning Specialization,Cybersecurity Analyst,5,Strong
"Cybersecurity, Linux, Ethical Hacking",1,B.Tech,AWS Certified,Cybersecurity Analyst,9,Strong
"Cybersecurity, Linux, Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,4,Average
"Java, React, SQL, C++",1,B.Sc,None,Software Engineer,10,Strong
"React, C++",9,B.Sc,None,Software Engineer,6,Strong
"SQL, React, Java, C++",9,MBA,Google ML,Software Engineer,7,Strong
"Ethical Hacking, Linux",4,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,5,Strong
"SQL, Java, C++",2,B.Sc,AWS Certified,Software Engineer,1,Average
"C++, React, SQL",9,PhD,Google ML,Software Engineer,5,Strong
"Python, NLP, Pytorch",2,PhD,AWS Certified,AI Researcher,1,Average
"NLP, Pytorch, TensorFlow",9,B.Sc,None,AI Researcher,10,Strong
"Linux, Networking, Cybersecurity, Ethical Hacking",8,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,4,Strong
"Machine Learning, Deep Learning, SQL",0,B.Sc,AWS Certified,Data Scientist,6,Average
"SQL, C++",7,B.Sc,AWS Certified,Software Engineer,7,Strong
"Networking, Cybersecurity",7,PhD,None,Cybersecurity Analyst,0,Strong
"Java, React, SQL",1,PhD,None,Software Engineer,1,Weak
"Ethical Hacking, Networking, Linux",0,B.Tech,Google ML,Cybersecurity Analyst,9,Average
"SQL, Machine Learning, Deep Learning, Python",6,M.Tech,Deep Learning Specialization,Data Scientist,5,Strong
"TensorFlow, NLP, Pytorch, Python",4,M.Tech,AWS Certified,AI Researcher,7,Strong
"Deep Learning, Machine Learning, SQL",5,M.Tech,None,Data Scientist,9,Strong
"Python, Machine Learning",7,B.Sc,AWS Certified,Data Scientist,2,Strong
"C++, SQL",5,M.Tech,Google ML,Software Engineer,0,Average
"Python, Deep Learning, SQL, Machine Learning",5,MBA,Google ML,Data Scientist,0,Strong
"Networking, Linux",2,B.Sc,None,Cybersecurity Analyst,0,Weak
"React, SQL",4,PhD,None,Software Engineer,10,Strong
"Java, React, C++, SQL",8,B.Tech,Google ML,Software Engineer,7,Strong
"Pytorch, TensorFlow, NLP",4,B.Sc,None,AI Researcher,5,Strong
"Java, C++, SQL",9,M.Tech,Deep Learning Specialization,Software Engineer,0,Strong
"TensorFlow, Pytorch, NLP, Python",6,PhD,Google ML,AI Researcher,10,Strong
"SQL, Java, C++, React",5,M.Tech,Deep Learning Specialization,Software Engineer,9,Strong
"Deep Learning, Python, Machine Learning",6,B.Tech,Google ML,Data Scientist,2,Strong
"SQL, C++, React",3,B.Tech,None,Software Engineer,7,Strong
"Ethical Hacking, Networking",6,B.Sc,AWS Certified,Cybersecurity Analyst,2,Strong
"Machine Learning, Deep Learning",7,B.Tech,AWS Certified,Data Scientist,8,Strong
"SQL, Java, React",10,B.Sc,Deep Learning Specialization,Software Engineer,4,Strong
"Pytorch, NLP",1,MBA,None,AI Researcher,2,Weak
"Machine Learning, Deep Learning, SQL",7,M.Tech,Deep Learning Specialization,Data Scientist,10,Strong
"Networking, Linux, Ethical Hacking, Cybersecurity",3,M.Tech,AWS Certified,Cybersecurity Analyst,9,Strong
"TensorFlow, NLP, Python",3,PhD,AWS Certified,AI Researcher,7,Strong
"Python, Deep Learning, Machine Learning, SQL",9,B.Tech,Google ML,Data Scientist,9,Strong
"React, C++, Java, SQL",5,B.Sc,None,Software Engineer,3,Strong
"Python, TensorFlow, Pytorch, NLP",5,PhD,Google ML,AI Researcher,0,Strong
"React, C++, Java, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,7,Strong
"Machine Learning, Python, Deep Learning, SQL",1,B.Sc,Google ML,Data Scientist,4,Average
"React, SQL, Java, C++",1,PhD,None,Software Engineer,1,Weak
"Ethical Hacking, Networking, Cybersecurity",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"Machine Learning, Deep Learning, Python",7,B.Tech,Deep Learning Specialization,Data Scientist,0,Strong
"Cybersecurity, Linux, Networking, Ethical Hacking",0,MBA,None,Cybersecurity Analyst,10,Average
"Cybersecurity, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,5,Average
"NLP, Python",5,B.Tech,AWS Certified,AI Researcher,3,Strong
"TensorFlow, Python",10,PhD,AWS Certified,AI Researcher,6,Strong
"NLP, Pytorch, Python",0,MBA,None,AI Researcher,0,Weak
"React, Java, C++",6,B.Sc,AWS Certified,Software Engineer,5,Strong
"Networking, Linux",10,PhD,None,Cybersecurity Analyst,2,Strong
"SQL, Deep Learning",5,B.Sc,Google ML,Data Scientist,5,Strong
"C++, Java, React, SQL",9,MBA,AWS Certified,Software Engineer,4,Strong
"React, Java",3,M.Tech,AWS Certified,Software Engineer,9,Strong
"Linux, Cybersecurity, Ethical Hacking",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,8,Strong
"C++, SQL",2,M.Tech,AWS Certified,Software Engineer,4,Average
"TensorFlow, Python, NLP, Pytorch",9,MBA,None,AI Researcher,0,Strong
"Machine Learning, Python, Deep Learning",7,B.Tech,None,Data Scientist,8,Strong
"C++, React",4,B.Sc,Deep Learning Specialization,Software Engineer,10,Strong
"Python, TensorFlow, Pytorch",1,B.Sc,Deep Learning Specialization,AI Researcher,7,Average
"Ethical Hacking, Networking",6,M.Tech,None,Cybersecurity Analyst,7,Strong
"Python, Machine Learning",5,B.Sc,None,Data Scientist,1,Average
"React, Java, SQL, C++",8,B.Sc,AWS Certified,Software Engineer,2,Strong
"React, C++, Java",8,MBA,AWS Certified,Software Engineer,0,Strong
"SQL, Java, React, C++",3,M.Tech,Google ML,Software Engineer,9,Strong
"Deep Learning, SQL",1,B.Tech,AWS Certified,Data Scientist,4,Average
"Python, Machine Learning, SQL",0,B.Tech,AWS Certified,Data Scientist,4,Weak
"React, Java",5,B.Sc,AWS Certified,Software Engineer,8,Strong
"C++, Java",5,PhD,Google ML,Software Engineer,8,Strong
"TensorFlow, Python",5,B.Sc,None,AI Researcher,6,Strong
"Ethical Hacking, Cybersecurity, Linux",6,MBA,Google ML,Cybersecurity Analyst,1,Strong
"TensorFlow, Python",1,M.Tech,Deep Learning Specialization,AI Researcher,4,Average
"Python, SQL, Machine Learning",9,MBA,Deep Learning Specialization,Data Scientist,2,Strong
"Linux, Networking, Ethical Hacking",3,B.Tech,AWS Certified,Cybersecurity Analyst,3,Average
"C++, React",10,M.Tech,Deep Learning Specialization,Software Engineer,5,Strong
"Linux, Ethical Hacking",3,M.Tech,AWS Certified,Cybersecurity Analyst,2,Average
"SQL, React, Java",2,MBA,Google ML,Software Engineer,1,Average
"Machine Learning, Python, SQL, Deep Learning",9,M.Tech,None,Data Scientist,10,Strong
"Deep Learning, SQL, Machine Learning, Python",3,PhD,Google ML,Data Scientist,1,Average
"Pytorch, TensorFlow, NLP",6,MBA,Deep Learning Specialization,AI Researcher,4,Strong
"Pytorch, Python, TensorFlow",7,B.Sc,None,AI Researcher,3,Strong
"Pytorch, NLP, Python",10,M.Tech,Deep Learning Specialization,AI Researcher,2,Strong
"Python, Machine Learning",8,B.Tech,Deep Learning Specialization,Data Scientist,2,Strong
"Machine Learning, Python, Deep Learning",3,M.Tech,None,Data Scientist,7,Strong
"NLP, Python, TensorFlow",7,B.Sc,None,AI Researcher,9,Strong
"NLP, Pytorch, TensorFlow",7,B.Tech,Deep Learning Specialization,AI Researcher,4,Strong
"C++, React, SQL, Java",9,B.Tech,Google ML,Software Engineer,9,Strong
"NLP, TensorFlow, Pytorch, Python",0,B.Sc,Google ML,AI Researcher,1,Weak
"SQL, Java",5,B.Sc,AWS Certified,Software Engineer,0,Average
"React, SQL",10,MBA,AWS Certified,Software Engineer,0,Strong
"Python, Deep Learning, Machine Learning",5,M.Tech,None,Data Scientist,10,Strong
"Cybersecurity, Networking, Ethical Hacking, Linux",5,B.Tech,AWS Certified,Cybersecurity Analyst,3,Strong
"Pytorch, TensorFlow, NLP",4,B.Tech,None,AI Researcher,3,Average
"C++, React, SQL, Java",5,M.Tech,None,Software Engineer,6,Strong
"NLP, TensorFlow, Python, Pytorch",8,MBA,None,AI Researcher,3,Strong
"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,None,Cybersecurity Analyst,2,Strong
"Java, React, C++, SQL",5,MBA,Google ML,Software Engineer,1,Strong
"Java, SQL",3,PhD,Google ML,Software Engineer,10,Strong
"NLP, Pytorch",8,B.Sc,AWS Certified,AI Researcher,4,Strong
"Java, C++, SQL, React",7,B.Sc,Google ML,Software Engineer,9,Strong
"Pytorch, Python, TensorFlow",4,MBA,None,AI Researcher,2,Average
"Networking, Ethical Hacking, Linux",3,M.Tech,None,Cybersecurity Analyst,8,Strong
"TensorFlow, Python, Pytorch, NLP",2,B.Sc,Deep Learning Specialization,AI Researcher,4,Average
"SQL, React, C++, Java",8,M.Tech,Google ML,Software Engineer,7,Strong
"TensorFlow, NLP, Python, Pytorch",6,M.Tech,Deep Learning Specialization,AI Researcher,9,Strong
"Deep Learning, SQL, Machine Learning",6,MBA,Deep Learning Specialization,Data Scientist,8,Strong
"TensorFlow, NLP, Python, Pytorch",4,M.Tech,AWS Certified,AI Researcher,10,Strong
"Python, TensorFlow, NLP",10,M.Tech,None,AI Researcher,8,Strong
"Cybersecurity, Ethical Hacking, Networking, Linux",2,B.Sc,Google ML,Cybersecurity Analyst,3,Average
"Pytorch, NLP",5,M.Tech,AWS Certified,AI Researcher,4,Strong
"Cybersecurity, Ethical Hacking, Linux, Networking",5,B.Tech,AWS Certified,Cybersecurity Analyst,7,Strong
"Python, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,6,Strong
"SQL, C++",0,B.Tech,Google ML,Software Engineer,5,Weak
"Python, TensorFlow, Pytorch",0,M.Tech,None,AI Researcher,1,Weak
"SQL, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,5,Strong
"TensorFlow, NLP, Python, Pytorch",3,B.Sc,None,AI Researcher,8,Strong
"Cybersecurity, Networking",4,PhD,None,Cybersecurity Analyst,2,Average
"Linux, Ethical Hacking, Cybersecurity",8,PhD,Deep Learning Specialization,Cybersecurity Analyst,5,Strong
"Ethical Hacking, Networking, Linux, Cybersecurity",1,B.Sc,Google ML,Cybersecurity Analyst,9,Strong
"TensorFlow, Pytorch, Python, NLP",10,B.Tech,AWS Certified,AI Researcher,6,Strong
"C++, React",7,PhD,None,Software Engineer,1,Strong
"React, SQL, Java",0,B.Tech,AWS Certified,Software Engineer,3,Weak
"Pytorch, TensorFlow, Python",6,B.Tech,None,AI Researcher,7,Strong
"TensorFlow, NLP, Pytorch",3,B.Sc,Deep Learning Specialization,AI Researcher,9,Strong
"TensorFlow, NLP",7,M.Tech,Deep Learning Specialization,AI Researcher,6,Strong
"SQL, Machine Learning",5,B.Sc,Deep Learning Specialization,Data Scientist,6,Strong
"Ethical Hacking, Linux, Networking, Cybersecurity",3,PhD,None,Cybersecurity Analyst,4,Average
"Networking, Cybersecurity",1,PhD,None,Cybersecurity Analyst,9,Average
"Ethical Hacking, Networking",7,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,7,Strong
"Networking, Ethical Hacking",3,B.Sc,Google ML,Cybersecurity Analyst,0,Average
